DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,DATE,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-06,01-06-2010,70.15,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-07,01-07-2010,69.95,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-08,01-08-2010,70.04,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-09,01-09-2010,70.27,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-10,01-10-2010,70.47,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-11,01-11-2010,70.56,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2010-12,01-12-2010,70.96,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-01,01-01-2011,70.61,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-02,01-02-2011,70.9,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-03,01-03-2011,71.78,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-04,01-04-2011,72.17,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-05,01-05-2011,72.21,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-06,01-06-2011,72.18,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-07,01-07-2011,71.82,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-08,01-08-2011,71.91,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-09,01-09-2011,72.37,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-10,01-10-2011,72.63,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-11,01-11-2011,72.73,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2011-12,01-12-2011,72.97,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-01,01-01-2012,72.55,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-02,01-02-2012,72.92,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-03,01-03-2012,73.77,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-04,01-04-2012,74.1,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-05,01-05-2012,74.03,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-06,01-06-2012,73.99,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-07,01-07-2012,73.64,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-08,01-08-2012,73.89,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-09,01-09-2012,74.38,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-10,01-10-2012,74.55,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-11,01-11-2012,74.41,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2012-12,01-12-2012,74.64,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-01,01-01-2013,74.01,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-02,01-02-2013,74.28,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-03,01-03-2013,75.03,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-04,01-04-2013,74.99,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-05,01-05-2013,75.06,,
ESTAT:PRC_HICP_MINR(1.0),20/05/26 11:00:00,Monthly,"Index, 2025=100",Total,European Union - 27 countries (from 2020),2013-06,01-06-2013,75.13,,
